DATE,AUTLORSGPNOSTSAM
1991-08-01,101.607603241884
1991-09-01,101.651133672007
1991-10-01,101.665188560686
1991-11-01,101.652135245159
1991-12-01,101.616301686913
1992-01-01,101.563953436088
1992-02-01,101.499609991196
1992-03-01,101.42372572637
1992-04-01,101.331408398551
1992-05-01,101.214482393879
1992-06-01,101.064874863584
1992-07-01,100.87988510082
1992-08-01,100.660289236366
1992-09-01,100.411124563645
1992-10-01,100.145064888975
1992-11-01,99.8788676388842
1992-12-01,99.6312314345725
1993-01-01,99.4208640984573
1993-02-01,99.2649332422625
1993-03-01,99.1750064660026
1993-04-01,99.1491985771688
1993-05-01,99.1788104024889
1993-06-01,99.2502996920186
1993-07-01,99.3432513634098
1993-08-01,99.4360589561132
1993-09-01,99.5100689622873
1993-10-01,99.5537364765871
1993-11-01,99.5608077840655
1993-12-01,99.5306314949959
1994-01-01,99.4710294777496
1994-02-01,99.3948174423378
1994-03-01,99.3184125328592
1994-04-01,99.2616267239709
1994-05-01,99.243965149945
1994-06-01,99.2795383816164
1994-07-01,99.3691346729949
1994-08-01,99.5057896018284
1994-09-01,99.6763241723737
1994-10-01,99.8593708318843
1994-11-01,100.031608665813
1994-12-01,100.173032661813
1995-01-01,100.272924861317
1995-02-01,100.326045182698
1995-03-01,100.331662752318
1995-04-01,100.295810065046
1995-05-01,100.227099984796
1995-06-01,100.135435970047
1995-07-01,100.033010058392
1995-08-01,99.9322061171357
1995-09-01,99.8442376030062
1995-10-01,99.7776272862129
1995-11-01,99.7385382860898
1995-12-01,99.7294942708361
1996-01-01,99.7460349952067
1996-02-01,99.7793870989961
1996-03-01,99.8171691429744
1996-04-01,99.8427750793715
1996-05-01,99.8399663072926
1996-06-01,99.7982176086576
1996-07-01,99.719944173583
1996-08-01,99.6143070763231
1996-09-01,99.4935343936864
1996-10-01,99.3711307193045
1996-11-01,99.2590382879272
1996-12-01,99.1648692112129
1997-01-01,99.088340020596
1997-02-01,99.0275423792293
1997-03-01,98.9837984902503
1997-04-01,98.9652613284907
1997-05-01,98.9822349097807
1997-06-01,99.0406137945703
