Periode;Jahr;Halbjahr;Quartal;Monat;Tag;Indikator;Einheit;Status;Produzent;Region / Geschäftspartner;Datentyp;Werte;Sortierkriterium des Indikators
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Zypern;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,36;AB005C001
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Deutschland;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,02;AB005C002
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Griechenland;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,28;AB005C003
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Irland;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,04;AB005C004
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Spanien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,07;AB005C005
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Frankreich;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,07;AB005C006
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Italien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,26;AB005C007
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Luxemburg;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;3,83;AB005C008
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Malta;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,34;AB005C009
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Niederlande;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,05;AB005C010
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Österreich;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,06;AB005C011
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Portugal;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,18;AB005C012
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Slowenien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,23;AB005C013
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Finnland;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,05;AB005C014
Monat;2007;1;1;01;;Rend. lf staatl. Schuldverschr., Euroraum - wechselnde Zusammensetzung;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,10;AB005C015
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Bulgarien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,27;AB005C016
Monat;2007;1;1;01;;Renditen langfr. staatl. Schuldverschreibungen, Tschechische Republik;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;3,94;AB005C017
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Dänemark;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,00;AB005C018
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Lettland;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,92;AB005C020
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Litauen;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,28;AB005C021
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Ungarn;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;6,96;AB005C022
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Polen;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;5,17;AB005C023
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Rumänien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;7,39;AB005C024
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Kroatien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,75;AB005C025
Monat;2007;1;1;01;;Renditen langfr. staatl. Schuldverschreibungen, Slowakische Republik;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,25;AB005C026
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Schweden;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;3,90;AB005C027
Monat;2007;1;1;01;;Renditen langfr. staatl. Schuldverschreibungen, Vereinigtes Königreich;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,94;AB005C028
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Norwegen;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,39;AB005C029
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Schweiz;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;2,62;AB005C030
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, USA;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,57;AB005C031
Monat;2007;1;1;01;;Renditen langfristiger staatlicher Schuldverschreibungen, Japan;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,65;AB005C032
Monat;2007;1;1;02;;Renditen langfristiger staatlicher Schuldverschreibungen, Belgien;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,11;AB005C000
Monat;2007;1;1;02;;Renditen langfristiger staatlicher Schuldverschreibungen, Zypern;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;4,42;AB005C001
